"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","AWND","AWND_ATTRIBUTES","PGTM","PGTM_ATTRIBUTES","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES","WDF2","WDF2_ATTRIBUTES","WDF5","WDF5_ATTRIBUTES","WSF2","WSF2_ATTRIBUTES","WSF5","WSF5_ATTRIBUTES","WT01","WT01_ATTRIBUTES","WT02","WT02_ATTRIBUTES","WT03","WT03_ATTRIBUTES","WT08","WT08_ATTRIBUTES"
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-01","5.82",",,W",,,"60","H,,S","71",",,W","53",",,W","  360",",,W","  350",",,W","13.0",",,W","15.0",",,W",,,,,,,"    1",",,W"
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-02","6.49",",,W",,,"65","H,,S","82",",,W","54",",,W","  170",",,W","  160",",,W","15.0",",,W","19.9",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-03","8.50",",,W",,,"73","H,,S","85",",,W","66",",,W","  180",",,W","  170",",,W","18.1",",,W","21.0",",,W","    1",",,W","    1",",,W",,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-04","13.65",",,W",,,"72","H,,S","82",",,W","61",",,W","  290",",,W","  270",",,W","25.9",",,W","36.0",",,W","    1",",,W",,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-05","8.28",",,W",,,"58","H,,S","64",",,W","48",",,W","  320",",,W","  310",",,W","23.0",",,W","30.0",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-06","2.91",",,W",,,"55","H,,S","69",",,W","45",",,W","  360",",,W","   10",",,W","8.9",",,W","12.1",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-07","5.37",",,W",,,"58","H,,S","74",",,W","46",",,W","  300",",,W","  310",",,W","16.1",",,W","19.0",",,W",,,,,,,"    1",",,W"
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-08","9.62",",,W",,,"60","H,,S","69",",,W","49",",,W","   30",",,W","   30",",,W","15.0",",,W","19.0",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-09","9.62",",,W",,,"62","H,,S","79",",,W","50",",,W","  100",",,W","  100",",,W","23.9",",,W","31.1",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-10","10.07",",,W",,,"70","H,,S","81",",,W","60",",,W","  110",",,W","  120",",,W","21.0",",,W","27.1",",,W",,,,,,,,
"USW00012815","ORLANDO INTERNATIONAL AIRPORT, FL US","28.41822","-81.32413","27.1","2020-01-11","10.74",",,W",,,"75","H,,S","84",",,W","70",",,W","  140",",,W","  150",",,W","23.0",",,W","29.1",",,W","    1",",,W",,,,,"    1",",,W"
